ico,nazov,psc,adresa,okres
00315940,obec,,,985 13
00305855,Ábelová,,,925 45
00307726,Abrahám,,,951 22
00308749,Alekšince,,,941 23
00307742,Andovce,,,951 34
00313254,Báb,,,976 64
00304654,Bacúch,,,900 84
00305260,Báhoň,,,930 04
00305278,Baka,,,930 08
00308765,Baloň,,,941 01
00310182,Bánov,,,957 01
00320498,Bánovce nad Bebravou,,,966 15
00313271,Banská Belá,,,975 39
00320501,Banská Bystrica,,,969 24
00321842,Banská Štiavnica,,,085 01
00308773,Bardejov,,,941 49
00318604,Bardoňovo,,,980 21
00306711,Bátka,,,946 34
00306771,Bátorove Kosihy,,,935 03
00311413,Bátovce,,,916 38
00321168,Beckov,,,013 05
00308781,Belá,,,943 53
00322814,Belá,,,067 81
00316563,Belá nad Cirochou,,,038 11
00317063,Belá-Dulice,,,018 61
00313289,Beluša,,,976 64
00304662,Beňuš,,,900 27
00306789,Bermolákovo,,,935 36
00308790,Beša,,,941 41
00325031,Bešeňov,,,072 53
00323977,Bežovce,,,044 45
00308803,Bidovce,,,943 56
00312258,Bíňa,,,919 07
00305308,Bíňovce,,,930 32
00304671,Blatná na Ostrove,,,900 82
00316571,Blatné,,,038 15
00314404,Blatnica,,,029 42
00315117,Bobrov,,,032 21
00306371,Bobrovec,,,946 16
00323985,Bodza,,,044 16
00312266,Bohdanovce,,,919 09
00310239,Bohdanovce nad Trnavou,,,956 01
00318001,Bojná,,,972 01
00331333,Bojnice,,,076 53
00312282,Boľ,,,919 08
00317080,Boleráz,,,018 53
00312291,Bolešov,,,919 61
00309419,Borová,,,908 77
00309401,Borský Mikuláš,,,908 79
00308358,Muráň,951 95,Cintorínska 229,Zlaté Moravce
